month,paper_count,mention_count,share_pct,rolling_12m_pct
1976-01-01,183,0,0.0,0.0
1976-02-01,144,0,0.0,0.0
1976-03-01,123,0,0.0,0.0
1976-04-01,97,0,0.0,0.0
1976-05-01,144,0,0.0,0.0
1976-06-01,144,0,0.0,0.0
1976-07-01,62,0,0.0,0.0
1976-08-01,130,0,0.0,0.0
1976-09-01,107,0,0.0,0.0
1976-10-01,109,0,0.0,0.0
1976-11-01,120,0,0.0,0.0
1976-12-01,157,0,0.0,0.0
1977-01-01,199,0,0.0,0.0
1977-02-01,149,0,0.0,0.0
1977-03-01,130,0,0.0,0.0
1977-04-01,87,0,0.0,0.0
1977-05-01,120,0,0.0,0.0
1977-06-01,161,0,0.0,0.0
1977-07-01,61,0,0.0,0.0
1977-08-01,130,0,0.0,0.0
1977-09-01,169,0,0.0,0.0
1977-10-01,86,1,1.1627906976744187,0.09689922480620156
1977-11-01,137,0,0.0,0.09689922480620156
1977-12-01,202,1,0.49504950495049505,0.1381533502187428
1978-01-01,215,0,0.0,0.1381533502187428
1978-02-01,144,0,0.0,0.1381533502187428
1978-03-01,126,0,0.0,0.1381533502187428
1978-04-01,90,0,0.0,0.1381533502187428
1978-05-01,120,0,0.0,0.1381533502187428
1978-06-01,176,0,0.0,0.1381533502187428
1978-07-01,42,0,0.0,0.1381533502187428
1978-08-01,124,0,0.0,0.1381533502187428
1978-09-01,143,2,1.3986013986013985,0.25470346676885935
1978-10-01,105,0,0.0,0.1578042419626578
1978-11-01,110,0,0.0,0.1578042419626578
1978-12-01,159,0,0.0,0.11655011655011654
1979-01-01,241,0,0.0,0.11655011655011654
1979-02-01,162,0,0.0,0.11655011655011654
1979-03-01,155,0,0.0,0.11655011655011654
1979-04-01,103,1,0.9708737864077669,0.19745626541743044
1979-05-01,138,0,0.0,0.19745626541743044
1979-06-01,159,0,0.0,0.19745626541743044
1979-07-01,78,0,0.0,0.19745626541743044
1979-08-01,115,0,0.0,0.19745626541743044
1979-09-01,132,0,0.0,0.08090614886731391
1979-10-01,125,0,0.0,0.08090614886731391
1979-11-01,127,0,0.0,0.08090614886731391
1979-12-01,154,0,0.0,0.08090614886731391
