horizon,family,role,shortlist_count,mean_shortlist_penalty,route_path_share,route_mediator_share,pair_count,mean_supporting_path_count,mean_mediator_count,mean_recent_share,mean_fwci
5,airports,source_family,1,175.0,0.0,1.0,16,1195.872473096155,6.75,0.1570397111913357,5.69299325
5,capital,source_family,1,111.0,0.0,1.0,2,161.50586790434647,6.5,0.1814058956916099,7.745104347826088
5,carbon emissions,source_family,11,67.63636363636364,0.8181818181818182,0.18181818181818182,170,1292.1422047949197,16.54705882352941,0.46785895056521004,13.593994067634009
5,conservation reserve program,source_family,1,47.0,0.0,1.0,5,391.0688466836022,2.6,0.1462450592885375,4.669793591047813
5,covid 19 pandemic,source_family,1,8.0,1.0,0.0,16,908.3368553589794,13.125,0.6019032513877874,9.408504562737642
5,digital economy,source_family,2,39.0,1.0,0.0,2,312.45617763027496,14.5,0.9508599508599508,13.397565935747068
5,digital economy development,source_family,1,19.0,1.0,0.0,2,138.39806509844604,10.0,0.9588235294117649,9.48833515283843
5,energy consumption,source_family,2,61.5,1.0,0.0,15,10030.363958332291,16.466666666666665,0.3601895734597156,14.81321299646496
5,environmental pollution,source_family,2,114.0,1.0,0.0,6,226.33638837872226,17.333333333333332,0.3320987654320987,9.77654610455312
5,environmental quality,source_family,3,121.33333333333333,1.0,0.0,37,814.4902157911654,12.81081081081081,0.3461368653421633,8.918731331229367
5,environmental regulation,source_family,4,33.25,0.75,0.25,4,214.99201463795697,7.0,0.6069364161849711,10.6354989018396
5,financial development,source_family,4,21.75,0.25,0.75,10,6488.154245301412,16.0,0.5181494661921708,14.939738176234348
5,green finance,source_family,1,46.0,1.0,0.0,4,165.8077901781082,6.75,0.9297520661157024,15.795450312174818
5,green innovation,source_family,6,65.16666666666667,0.6666666666666666,0.3333333333333333,12,240.37232271310484,15.333333333333334,0.8314255983350677,12.285981441717793
5,house prices,source_family,1,37.0,1.0,0.0,23,513.6260047082985,11.217391304347826,0.2174320524835988,7.2064883801940764
5,human capital,source_family,1,35.0,1.0,0.0,1,56.36158168974945,9.0,0.4540481400437637,10.801005803955288
5,imports,source_family,1,10.0,1.0,0.0,12,319.16501306903916,9.75,0.2250437828371278,7.190138750358269
5,income tax rate,source_family,7,29.0,0.7142857142857143,0.2857142857142857,29,277.5319592810848,10.310344827586206,0.1418376449598572,5.183110954028814
5,industrial structure,source_family,1,0.0,1.0,0.0,5,235.44058421386558,13.0,0.5937007874015748,10.202391661237783
5,industrial structure upgrading,source_family,2,17.0,0.5,0.5,2,215.0676485595863,8.0,0.8589341692789969,10.759244979079496
5,model parameters,source_family,1,82.0,0.0,1.0,120,5709.149253824754,17.875,0.1033809166040571,6.041440584823587
5,models,source_family,1,155.0,0.0,1.0,25,3143.132905996562,11.84,0.1046470379567222,7.031420358067785
5,natural resources,source_family,2,76.0,0.5,0.5,6,2018.5545614132761,6.5,0.4685714285714286,10.097443890369243
5,output,source_family,1,128.0,1.0,0.0,29,260.7263357773694,16.0,0.13013998495257864,7.4309821547213
5,output growth,source_family,1,89.0,0.0,1.0,17,328.66433464444293,15.117647058823529,0.1520467836257309,8.66377541484716
5,policy variables,source_family,1,20.0,0.0,1.0,10,446.4640214394748,7.4,0.1562057574327513,6.583788747729875
5,price changes,source_family,3,25.666666666666668,0.6666666666666666,0.3333333333333333,39,324.80551314488815,9.948717948717949,0.11267605633802812,5.773551927019525
5,prices,source_family,1,24.0,0.0,1.0,15,250.2351290030753,6.8,0.1312010443864229,5.948982287665387
5,regional heterogeneity,source_family,3,33.0,0.6666666666666666,0.3333333333333333,6,159.76529706170206,9.666666666666666,0.4736842105263157,8.17454661893397
5,renewable energy,source_family,1,13.0,0.0,1.0,15,5755.491279976186,9.933333333333334,0.6021611001964636,12.863754894784996
5,renewable energy consumption,source_family,2,81.5,1.0,0.0,17,9639.260701744406,16.176470588235293,0.634906500445236,18.10315721178263
5,state of the business cycle,source_family,9,36.0,0.7777777777777778,0.2222222222222222,108,312.50644450868526,14.833333333333334,0.1761155815654718,6.423015470552292
5,tariffs,source_family,1,65.0,1.0,0.0,21,247.69628410607788,8.857142857142858,0.167728237791932,6.784888428845626
5,technological innovation,source_family,4,20.25,1.0,0.0,9,229.142211031193,12.444444444444445,0.7292759706190975,12.237872746628817
5,trade openness,source_family,3,50.333333333333336,0.3333333333333333,0.6666666666666666,8,5988.122789627278,8.75,0.4769230769230769,13.997371080139372
5,uncertainty,source_family,1,49.0,0.0,1.0,7,349.8716593850828,7.428571428571429,0.1370292887029288,7.260361946247782
5,uncertainty measures,source_family,2,28.0,1.0,0.0,34,148.69978605246078,9.0,0.2265751211631664,7.477778410324449
