horizon,family,role,shortlist_count,mean_shortlist_penalty,route_path_share,route_mediator_share,pair_count,mean_supporting_path_count,mean_mediator_count,mean_recent_share,mean_fwci
5,capital,source_family,1,77.0,0.0,1.0,2,161.50586790434647,6.5,0.1814058956916099,7.745104347826088
5,carbon emissions,source_family,10,63.4,0.9,0.1,170,1296.0903573706662,16.68235294117647,0.46785895056521004,13.593994067634009
5,conservation reserve program,source_family,1,41.0,0.0,1.0,4,427.80027548653516,3.0,0.1462450592885375,4.669793591047813
5,covid 19 pandemic,source_family,1,20.0,1.0,0.0,21,723.6824660916113,11.238095238095237,0.6019032513877874,9.408504562737642
5,digital economy,source_family,2,40.0,1.0,0.0,3,240.86104481993138,12.333333333333334,0.9508599508599508,13.400168571428573
5,digital economy development,source_family,1,15.0,1.0,0.0,2,138.39806509844604,10.0,0.9588235294117649,9.48833515283843
5,electricity consumption,source_family,1,98.0,0.0,1.0,5,3897.495263451099,7.4,0.2960526315789473,12.47772495527728
5,energy consumption,source_family,2,64.0,1.0,0.0,13,11559.09598489981,17.384615384615383,0.3601895734597156,14.813212996464959
5,environmental pollution,source_family,1,34.0,1.0,0.0,3,389.6528886354172,27.0,0.3320987654320987,9.79655339673913
5,environmental quality,source_family,4,115.0,0.75,0.25,37,814.0412861740326,12.837837837837839,0.3461368653421633,8.918731331229367
5,environmental regulation,source_family,3,36.0,0.6666666666666666,0.3333333333333333,3,262.280170292843,6.0,0.6069364161849711,10.6354989018396
5,exports,source_family,1,30.0,1.0,0.0,14,337.2257012800857,15.071428571428571,0.2397841171935235,7.547844051826805
5,financial development,source_family,4,17.25,0.25,0.75,11,5905.125781330852,15.272727272727273,0.5181494661921708,14.93973817623435
5,financing constraints,source_family,1,73.0,0.0,1.0,2,120.02518136106076,7.5,0.8142414860681114,10.26638928950159
5,firm size,source_family,1,37.0,1.0,0.0,9,178.3407432937203,8.88888888888889,0.1703107019562715,8.306194628469113
5,food consumption,source_family,1,127.0,1.0,0.0,4,219.23603171570966,4.75,0.2021660649819494,5.258028316831683
5,green finance,source_family,1,46.0,1.0,0.0,3,175.591294844984,6.666666666666667,0.9297520661157024,15.795450312174816
